%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%   For the following statistics, (u,v,w) are the tangential, normal
%   and spanwise velocity components in a local coordinate system.
%   The statistics normalized with the maximum velocity at the inlet (Uo)
%   are given at 14 streamwise positions. These statistics are interpolated 
%   from the 2D statistics computed in the fixe coordinate system and given 
%   in NetCDF format (statistics_2d.nc)
%
%  X	: Streamwise coordinates
%  Y-Y0	: Coordinates normal to the wall
%  U	: Mean tangential velocity
%  u'u'	: Tangential component of Reynolds stress
%  v'v'	: Normal component of Reynolds stress
%  w'w'	: Spanwise component of Reynolds stress
%  u'v'	: Shear stress
%
%  Re =  7900
%  Uo =  max[U(x=0,y)] = 1.03367
%  Ny = 100 
%
% Date File Created: November 5, 2007
%
       X              Y-Y0           U              u'u'           v'v'           w'w'           u'v'
  1.00644E+00    2.27660E-02    3.07241E-01    2.04494E-02    3.87551E-04    3.38304E-03   -1.27013E-03
  1.00644E+00    2.44802E-02    3.25240E-01    2.16825E-02    4.47008E-04    3.51568E-03   -1.41921E-03
  1.00644E+00    2.63178E-02    3.43319E-01    2.27945E-02    5.13677E-04    3.64103E-03   -1.57253E-03
  1.00644E+00    2.82877E-02    3.61364E-01    2.37638E-02    5.87774E-04    3.75883E-03   -1.72680E-03
  1.00644E+00    3.03994E-02    3.79661E-01    2.46350E-02    6.68922E-04    3.87282E-03   -1.88320E-03
  1.00644E+00    3.26632E-02    3.98073E-01    2.53813E-02    7.57629E-04    3.98142E-03   -2.03974E-03
  1.00644E+00    3.50900E-02    4.15960E-01    2.59123E-02    8.54052E-04    4.07870E-03   -2.18854E-03
  1.00644E+00    3.76916E-02    4.33840E-01    2.63047E-02    9.57015E-04    4.17098E-03   -2.33411E-03
  1.00644E+00    4.04804E-02    4.51626E-01    2.65410E-02    1.06588E-03    4.25846E-03   -2.47511E-03
  1.00644E+00    4.34700E-02    4.69244E-01    2.66061E-02    1.17961E-03    4.34225E-03   -2.61026E-03
  1.00644E+00    4.66749E-02    4.86645E-01    2.64882E-02    1.29687E-03    4.42411E-03   -2.73828E-03
  1.00644E+00    5.01105E-02    5.03800E-01    2.61832E-02    1.41633E-03    4.50499E-03   -2.85770E-03
  1.00644E+00    5.37935E-02    5.20676E-01    2.57013E-02    1.53690E-03    4.58347E-03   -2.96673E-03
